Date		Open		High		Low		Close*		Adj Close**	Volumes
Nov 30, 2021	57,679.75	57,926.38	56,115.19	56,812.47	56,812.47	33,295,413,248
Nov 29, 2021	57,291.91	58,872.88	56,792.53	57,806.57	57,806.57	32,370,840,356
Nov 28, 2021	54,813.02	57,393.84	53,576.73	57,248.46	57,248.46	28,116,886,357
Nov 27, 2021	53,736.43	55,329.26	53,668.36	54,815.08	54,815.08	30,560,857,714
Nov 26, 2021	58,960.29	59,183.48	53,569.77	53,569.77	53,569.77	41,810,748,221
Nov 25, 2021	57,165.42	59,367.97	57,146.68	57,274.68	57,274.68	34,284,016,248
Nov 24, 2021	57,565.85	57,803.07	55,964.22	56,280.43	56,280.43	36,635,566,789
Nov 23, 2021	56,304.55	57,875.52	55,632.76	57,569.07	57,569.07	37,485,803,899
Nov 22, 2021	58,706.85	59,266.36	55,679.84	56,289.29	56,289.29	35,036,121,783
Nov 21, 2021	59,730.51	60,004.43	58,618.93	58,730.48	58,730.48	26,123,447,605
Nov 20, 2021	58,115.08	59,859.88	57,469.73	59,697.20	59,697.20	30,624,264,863
Nov 19, 2021	56,896.13	58,351.11	55,705.18	58,119.58	58,119.58	38,702,407,772
Nov 18, 2021	60,360.14	60,948.50	56,550.79	56,942.14	56,942.14	41,388,338,699
Nov 17, 2021	60,139.62	60,823.61	58,515.41	60,368.01	60,368.01	39,178,392,930
Nov 16, 2021	63,721.20	63,721.20	59,016.34	60,161.25	60,161.25	46,844,335,592
Nov 15, 2021	65,521.29	66,281.57	63,548.14	63,557.87	63,557.87	30,558,763,548
Nov 14, 2021	64,455.37	65,495.18	63,647.81	65,466.84	65,466.84	25,122,092,191
Nov 13, 2021	64,158.12	64,915.68	63,303.73	64,469.53	64,469.53	30,474,228,777
Nov 12, 2021	64,863.98	65,460.82	62,333.91	64,155.94	64,155.94	36,084,893,887
Nov 11, 2021	64,978.89	65,579.02	64,180.49	64,949.96	64,949.96	35,880,633,236
Nov 10, 2021	66,953.34	68,789.63	63,208.11	64,995.23	64,995.23	48,730,828,378
Nov 09, 2021	67,549.73	68,530.34	66,382.06	66,971.83	66,971.83	42,357,991,721
Nov 08, 2021	63,344.07	67,673.74	63,344.07	67,566.83	67,566.83	41,125,608,330
Nov 07, 2021	61,554.92	63,326.99	61,432.49	63,326.99	63,326.99	24,726,754,302
Nov 06, 2021	61,068.88	61,590.68	60,163.78	61,527.48	61,527.48	29,094,934,221
Nov 05, 2021	61,460.08	62,541.47	60,844.61	61,125.68	61,125.68	30,605,102,446
Nov 04, 2021	62,941.80	63,123.29	60,799.66	61,452.23	61,452.23	32,615,846,901
Nov 03, 2021	63,254.34	63,516.94	61,184.24	62,970.05	62,970.05	36,124,731,509
Nov 02, 2021	60,963.25	64,242.79	60,673.05	63,226.40	63,226.40	37,746,665,647
Nov 01, 2021	61,320.45	62,419.00	59,695.18	61,004.41	61,004.41	36,150,572,843
Oct 31, 2021	61,850.49	62,406.17	60,074.33	61,318.96	61,318.96	32,241,199,927
Oct 30, 2021	62,239.36	62,330.14	60,918.39	61,888.83	61,888.83	32,157,938,616
Oct 29, 2021	60,624.87	62,927.61	60,329.96	62,227.96	62,227.96	36,856,881,767
Oct 28, 2021	58,470.73	62,128.63	58,206.92	60,622.14	60,622.14	45,257,083,247
Oct 27, 2021	60,352.00	61,435.18	58,208.19	58,482.39	58,482.39	43,657,076,893
Oct 26, 2021	63,032.76	63,229.03	59,991.16	60,363.79	60,363.79	34,878,965,587
Oct 25, 2021	60,893.93	63,729.32	60,691.80	63,039.82	63,039.82	31,064,911,614
Oct 24, 2021	61,368.34	61,505.80	59,643.34	60,930.84	60,930.84	27,316,183,882
Oct 23, 2021	60,694.63	61,743.88	59,826.52	61,393.62	61,393.62	26,882,546,034
Oct 22, 2021	62,237.89	63,715.02	60,122.80	60,692.27	60,692.27	38,434,082,775
Oct 21, 2021	66,002.23	66,600.55	62,117.41	62,210.17	62,210.17	45,908,121,370
Oct 20, 2021	64,284.59	66,930.39	63,610.68	65,992.84	65,992.84	40,788,955,582
Oct 19, 2021	62,043.16	64,434.54	61,622.93	64,261.99	64,261.99	40,471,196,346
Oct 18, 2021	61,548.80	62,614.66	60,012.76	62,026.08	62,026.08	38,055,562,075
Oct 17, 2021	60,887.65	61,645.52	59,164.47	61,553.62	61,553.62	29,032,367,511
Oct 16, 2021	61,609.53	62,274.48	60,206.12	60,892.18	60,892.18	34,250,964,237
Oct 15, 2021	57,345.90	62,757.13	56,868.14	61,593.95	61,593.95	51,780,081,801
